Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",1,K. Elvis,9,O. Šiška,2,6,2,0,1,2.0,6.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, J. Svojanovský","BK Olomoucko|0,1,10,14,51",0,M. Nelson,51,J. Svojanovský,1,3,1,0,1,1.0,3.0
BK Olomoucko,"M. Nelson, K. Elvis, K. Filewich, D. Žák, O. Šiška","BK Olomoucko|0,1,14,22,9",9,O. Šiška,0,M. Nelson,1,3,1,0,1,1.0,3.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",1,K. Elvis,14,K. Filewich,1,3,1,0,1,1.0,3.0
SLUNETA  Ústí nad Labem,"A. Pecháček, J. Young, T. Vyoral, F. Kábrt, D. Žikla","SLUNETA  Ústí nad Labem|0,2,4,8,9",4,T. Vyoral,9,D. Žikla,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, K. Cole","NH Ostrava|11,19,20,23,24",11,A. Číž,20,M. Svoboda,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, M. Svoboda, L. Palyza, L. Greer, D. Heinzl","NH Ostrava|11,20,23,3,7",23,L. Palyza,20,M. Svoboda,1,3,1,0,1,1.0,3.0
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Potoček, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|0,10,31,4,44",44,L. Pecka,4,T. Vyoral,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"K. Brewton, T. Merta, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|2,23,24,44,5",2,K. Brewton,44,T. Dvořák,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"D. Škranc, K. Brewton, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|12,2,24,44,5",5,K. Chatman,12,D. Škranc,1,3,1,0,1,1.0,3.0
SLUNETA  Ústí nad Labem,"N. Johnson, J. Young, T. Vyoral, L. Pecka, D. Žikla","SLUNETA  Ústí nad Labem|10,2,4,44,9",44,L. Pecka,4,T. Vyoral,1,3,1,0,1,1.0,3.0
NH Ostrava,"M. Snopek, A. Číž, M. Svoboda, L. Palyza, L. Greer","NH Ostrava|10,11,20,23,3",11,A. Číž,23,L. Palyza,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, J. Šiřina, J. Slavík","BK Opava|1,13,20,24,33",24,J. Šiřina,13,C. Brown Jr,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, D. Motyčka, J. Šiřina, J. Švandrlík, F. Zbránek","BK Opava|1,14,24,8,9",8,J. Švandrlík,24,J. Šiřina,1,3,1,0,1,1.0,3.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, C. Eduardo","USK Praha|1,13,16,25,7",16,O. Švec,1,T. Henderson Jr.,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"R. Jones, R. Mrázek, P. Macháč, D. Böhm, M. Dáňa","SK Slavia Praha|15,22,35,7,88",15,R. Jones,88,M. Dáňa,1,3,1,0,1,1.0,3.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, M. Šafařík","USK Praha|1,13,16,25,5",5,M. Šafařík,1,T. Henderson Jr.,1,3,1,0,1,1.0,3.0
USK Praha,"T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo, M. Šafařík","USK Praha|1,13,16,25,5",1,T. Henderson Jr.,25,T. Tainamo,1,3,1,0,1,1.0,3.0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|13,23,3,4,98",3,R. Bonham,4,J. Bryant,1,3,1,0,1,1.0,3.0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|13,23,3,4,98",4,J. Bryant,98,J. Tůma,1,3,1,0,1,1.0,3.0
