Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Alexandre LIBERT, Arne SCHREVENS, Demetric HORTON, Godwin TSHIMANGA",1,1.3,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,1,0,0,0,0,2,3,6,6.0,200.0,200.0,0.0,200.0,75.0,75.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Alexandre LIBERT, Arne SCHREVENS, Jamison OVERTON, Tonko VUKO",1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,106.4,-106.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Alexandre LIBERT, Demetric HORTON, Jared AMBROSE, Louis HAZARD",1,7.2,3,1,1,100.0,1,1,100.0,0,0,0,0,1,1,1,0,0,1,0,2,3,6,6.0,51.8,69.1,115.5,-46.4,150.0,150.0,100.0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Alexandre LIBERT, Arne SCHREVENS, Demetric HORTON, Louis HAZARD",1,6.2,3,1,3,33.3,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,3,0,3,3.0,23.5,148.9,124.2,24.7,33.3,43.6,0.0,0.0,0,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Louis HAZARD",1,6.2,3,1,2,50.0,1,2,50.0,0,0,0,0,1,1,0,0,0,0,1,2,0,3,3.0,22.3,126.5,118.5,8.0,75.0,75.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Arne SCHREVENS, Demetric HORTON, Jomaru BROWN, Louis HAZARD",1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,139.8,147.8,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Arne SCHREVENS, Jamison OVERTON, Jomaru BROWN, Louis HAZARD",1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,146.0,-146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Arne SCHREVENS, Deishuan BOOKER, Jamison OVERTON, Jomaru BROWN",1,1.7,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3.0,150.0,150.0,146.0,4.0,150.0,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Arne SCHREVENS, Demetric HORTON, Jamison OVERTON, Jomaru BROWN",1,1.6,5,2,2,100.0,0,0,0,1,1,100.0,1,0,1,0,0,0,0,0,1,0,5,5.0,148.4,207.7,0.0,207.7,100.0,102.5,0.0,0.0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,2,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Alexandre LIBERT, Deishuan BOOKER, Demetric HORTON, Godwin TSHIMANGA",1,1.3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,3,3.0,106.8,142.3,0.0,142.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonko VUKO,Brussels Basketball,7,Tonko VUKO,"Alexandre LIBERT, Arne SCHREVENS, Jamison OVERTON, Louis HAZARD",1,1.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,106.4,-106.4,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE,"Carter GILMORE, Drew STOVER, Reginald MESIDOR, Siem UIJTENDAAL",1,17.8,9,4,10,40.0,1,5,20.0,0,0,0,2,1,3,1,0,0,0,2,8,2,11,11.0,32.3,79.3,159.2,-79.9,45.0,45.0,25.0,0.0,1,1,100,4,2,50,0,0,0,1,1,0,0,0,0,2,3,2
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE,"Carter GILMORE, Jonas VISSER, Nick THRAN, Siem UIJTENDAAL",1,4.6,7,2,3,66.7,1,1,100.0,2,2,100.0,0,0,0,0,1,0,0,0,4,0,7,7.0,70.9,121.5,54.5,67.0,83.3,90.2,0.0,0.0,0,0,0,2,1,50,0,0,0,0,1,0,0,0,0,2,0,2
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE,"Carter GILMORE, Jonas VISSER, Nick THRAN, Thijs BEENS",1,2.1,0,0,2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,37.5,215.1,-177.6,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE,"Carter GILMORE, Drew STOVER, Nick THRAN, Reginald MESIDOR",1,1.8,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,25.8,-25.8,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE,"Drew STOVER, Noah VAN DER HEIDEN, Reginald MESIDOR, Siem UIJTENDAAL",1,1.4,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,1,0,2,2.0,71.2,71.2,50.0,21.2,0,113.6,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bryan ANTOINE,Den Helder Suns,0,Bryan ANTOINE,"Carter GILMORE, Jonas VISSER, Reginald MESIDOR, Siem UIJTENDAAL",1,1.2,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3.0,92.3,153.8,138.9,15.0,150.0,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter GILMORE,Den Helder Suns,7,Carter GILMORE,"Bryan ANTOINE, Drew STOVER, Reginald MESIDOR, Siem UIJTENDAAL",1,17.8,2,1,6,16.7,0,3,0.0,0,0,0,1,2,3,0,1,0,0,2,5,0,2,2.0,5.9,79.3,159.2,-79.9,16.7,16.7,0.0,0.0,0,0,0,3,1,33.3,0,0,0,0,0,0,0,0,0,2,0,0
Carter GILMORE,Den Helder Suns,7,Carter GILMORE,"Jonas VISSER, Nick THRAN, Reginald MESIDOR, Siem UIJTENDAAL",1,6.2,6,1,2,50.0,1,1,100.0,3,3,100.0,0,0,0,1,0,0,0,0,3,3,9,9.0,57.6,140.8,82.0,58.8,75.0,90.4,100.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,2
