Canonical,Team,Numbers,Variations
Kventin Kostan,FC Bayern Basketball II,35,Kventin Kostan
Jacob Kumal Washington,TV Langen,4,Jacob Kumal Washington
Michael Agyemang,TV Langen,7,Michael Agyemang
Alexander Lagerman,TV Langen,22,Alexander Lagerman
Sebastian Kuhn,Porsche BBA Ludwigsburg,4,Sebastian Kuhn
Paul Peter Skiba,Ahorn Camp Baskets,24,Paul Peter Skiba
Armin Pivac,Porsche BBA Ludwigsburg,9,Armin Pivac
Max von der Wippel,Dresden Titans,44,Max von der Wippel
Jeremy Julian Kolev,SV Fellbach Flashers,77,Jeremy Julian Kolev
Ferenc Gille,BG Hessing Leitershofen,11,Ferenc Gille
Jason George,BG Hessing Leitershofen,24,Jason George
Niklas Schüler,TSV Oberhaching Tropics,6,Niklas Schüler
Ágúst Godi Kjartansson,FC Bayern Basketball II,34,Ágúst Godi Kjartansson
,CATL Basketball Löwen,1,Player 1
Dusan Nikolic,SKYLINERS Juniors,14,Dusan Nikolic
Jakob Hanzalek,SV Fellbach Flashers,8,Jakob Hanzalek
Michael Tyrone Mitchell Jr.,CATL Basketball Löwen,1,Michael Tyrone Mitchell Jr.
Fynn Fischer,TSV Oberhaching Tropics,21,Fynn Fischer
Kayaan Yeboah,OrangeAcademy,8,Kayaan Yeboah
Barna Buglyó,OrangeAcademy,21,Barna Buglyó
Issac Grimley,Ahorn Camp Baskets,19,Issac Grimley
Ivan Crnjac,SKYLINERS Juniors,13,Ivan Crnjac
Maximilian Peters,SKYLINERS Juniors,21,Maximilian Peters
Gob Makuag Gabriel,FC Bayern Basketball II,25,Gob Makuag Gabriel
Luca Barthel,VR-Bank Würzburg Baskets Akademie,4,Luca Barthel
Konstantin Straus,VR-Bank Würzburg Baskets Akademie,12,Konstantin Straus
Tom Wübben,BBC Coburg,9,Tom Wübben
Christian Skladanowski,VR-Bank Würzburg Baskets Akademie,3,Christian Skladanowski
Niclas Mattner,VR-Bank Würzburg Baskets Akademie,15,Niclas Mattner
Flynn Lange,Ahorn Camp Baskets,7,Flynn Lange
Justin Charles Andrew,TV Langen,0,Justin Charles Andrew
Janosch Kögler,TSV Oberhaching Tropics,8,Janosch Kögler
Luka Pesic,FC Bayern Basketball II,7,Luka Pesic
Caspar David Vossenberg,FC Bayern Basketball II,0,Caspar David Vossenberg; Caspar Vossenberg
Kilian Dück,FC Bayern Basketball II,22,Kilian Dück
Leonard Alejandro Benitez Arocha,Dresden Titans,23,Leonard Alejandro Benitez Arocha
Leon Fertig,TV Langen,63,Leon Fertig
Emmanuel Ansah,BG Hessing Leitershofen,9,Emmanuel Ansah
Desmond Tyson Watson,SKYLINERS Juniors,4,Desmond Watson; Desmond Tyson Watson
Moses Pölking,SKYLINERS Juniors,6,Moses Pölking
Marko Volf,OrangeAcademy,22,Marko Volf
