Canonical,Team,Numbers,Variations
Chance Beaudoin-Skerritt,Algoma,4,Chance Beaudoin-Skerritt
Albin Rosenlund,Algoma,9,Albin Rosenlund
Elijah Quissua,Algoma,10,Elijah Quissua
Biong Deng,Algoma,11,Biong Deng
Tyson Francisco,Algoma,15,Tyson Francisco
Christian Uduimoh,Algoma,22,Christian Uduimoh
Isaiah Mcrae,Waterloo,6,Isaiah Mcrae
Moses Anvari,Waterloo,7,Moses Anvari
Thach Wal Nger,Waterloo,8,Thach Wal Nger
Cristian Craciun,Waterloo,23,Cristian Craciun
Arshya Ghasemi,Waterloo,24,Arshya Ghasemi
Eric Pushka,Waterloo,2,Eric Pushka
Stefan Prica,Waterloo,3,Stefan Prica
Tristan Darko,Waterloo,5,Tristan Darko
Dante Cole,Waterloo,9,Dante Cole
Noah Bear-Lowen,Waterloo,12,Noah Bear-Lowen
Graham VanDonkersgoed,Waterloo,14,Graham VanDonkersgoed
Daniel Thompson,Waterloo,15,Daniel Thompson
Mac Steenburgh,Waterloo,20,Mac Steenburgh
Tiernan O'Connor,Waterloo,25,Tiernan O'Connor
Mohamed Mahadhi,Saskatchewan,0,Mohamed Mahadhi
Emmanuel Bonsu,Saskatchewan,1,Emmanuel Bonsu
Easton Thimm,Saskatchewan,2,Easton Thimm
Dylan Miller,Saskatchewan,8,Dylan Miller
Mohamed Jabateh,Saskatchewan,9,Mohamed Jabateh
Dylan Boughen,Saskatchewan,3,Dylan Boughen
Amari Lessa Linklater,Saskatchewan,4,Amari Lessa Linklater
Treyvon Folkes,Saskatchewan,5,Treyvon Folkes
Owen Murphy WIebe,Saskatchewan,7,Owen Murphy WIebe
Freddy Kapinga,Saskatchewan,12,Freddy Kapinga
Josiah Roberts,Saskatchewan,13,Josiah Roberts
Josiah Draper,Saskatchewan,14,Josiah Draper
Kato Jaro,Winnipeg,0,Kato Jaro
Malachi Alexander,Winnipeg,7,Malachi Alexander
Alberto Gordo,Winnipeg,9,Alberto Gordo
Ryan Luke,Winnipeg,10,Ryan Luke
Donald Stewart,Winnipeg,13,Donald Stewart
Noah Kankam,Winnipeg,1,Noah Kankam
Ashton Uwamaliya,Winnipeg,4,Ashton Uwamaliya
Noah Macalalad,Winnipeg,6,Noah Macalalad
Emmanuel Ugbah,Winnipeg,8,Emmanuel Ugbah
Paul Ogweno,Winnipeg,11,Paul Ogweno
Elijah Mensah,Winnipeg,12,Elijah Mensah
Connor Grandbois,Winnipeg,14,Connor Grandbois
Lodie Kenyi,Regina,2,Lodie Kenyi
Ben Kamba,Regina,4,Ben Kamba
Gurech Gurech,Regina,5,Gurech Gurech
Zachary Hillis,Regina,7,Zachary Hillis
Kaz Dornstauder,Regina,10,Kaz Dornstauder
Isaac Kiona,Regina,0,Isaac Kiona
Isaiah Bay,Regina,1,Isaiah Bay
Sufyan Elkannan,Regina,3,Sufyan Elkannan
Ajang Tong,Regina,6,Ajang Tong
Cade Mather,Regina,8,Cade Mather
Jack Dolan,Regina,9,Jack Dolan
Tutu Akol,Regina,11,Tutu Akol
Daven Sharma,Regina,12,Daven Sharma
Drew Ackerman,Regina,13,Drew Ackerman
Joe Lippert,Laurier,13/14,Joe Lippert
Max Voorpool,Laurier,1,Max Voorpool
DeAndre Pierre,Laurier,3,DeAndre Pierre
Joey Arbour,Laurier,13/14/24,Joey Arbour
Tony Kibonge,UNBC,1,Tony Kibonge
Justin Sunga,UNBC,2,Justin Sunga
Danilo Gonzalez,UNBC,10,Danilo Gonzalez
Evgeny Baukin,UNBC,13,Evgeny Baukin
Miller Davies,UNBC,14,Miller Davies
Isaiah Bias,UNBC,4,Isaiah Bias
Marcus Nickles,UNBC,5,Marcus Nickles
Milan Pasquale,UNBC,6,Milan Pasquale
Cairo Wells,UNBC,8,Cairo Wells
Ben Worthington-White,UNBC,11,Ben Worthington-White
