Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Reading Rockets,"M. Bryant, T. Nsangu, C. Creek, J. Bouknight, V. Olarerin","Reading Rockets|10,12,14,4,8",1,3.5,213.0,10,3,8,37.5,0,2,0.0,4,5,80.0,0,0,0,1,0,0,1,0,3,10.8,93.0,39.7,53.3,2.82,7
Worthing Thunder,"J. Hopkins, E. Maynard, J. Lashley, B. Adeluola, E. Dadds","Worthing Thunder|15,22,35,5,7",1,3.5,211.0,10,4,7,57.1,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,8,6.7,148.8,105.8,43.1,2.84,2
Birmingham Rockets,"R. Blain, L. Okosieme, E. Donaldson, L. Mcgregor, F. Mughaal","Birmingham Rockets|0,21,3,6,7",2,3.5,211.0,2,1,6,16.7,0,1,0.0,0,0,0,0,0,0,1,0,0,2,0,4,7.7,26.0,52.1,-26.0,0.57,-2
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, M. Jones, T. Riley","Newcastle Knights|1,10,11,5,9",1,3.5,210.0,6,2,5,40.0,0,2,0.0,2,2,100.0,0,0,0,0,0,0,1,0,6,6.6,90.8,100.8,-10.0,1.71,0
Nottingham Hoods,"D. Nixon Ii, E. Bailey, S. Akano, M. Savery-Richards, T. Williams","Nottingham Hoods|12,6,7,8,9",2,3.4,205.0,9,3,8,37.5,2,4,50.0,1,3,33.3,0,0,0,2,0,0,1,0,7,9.9,90.8,65.1,25.7,2.63,2
Milton Keynes Breakers,"K. Williams, D. Jackson, M. New Jr., X. Wilson, B. Freckleton","Milton Keynes Breakers|0,1,15,21,7",1,3.4,204.0,7,3,7,42.9,1,3,33.3,0,0,0,0,0,0,1,0,0,0,0,4,6.7,104.2,93.8,10.3,2.06,3
Derby Trailblazers,"J. Pathmarajah, R. Marsden, C. Brown, E. Oliver, R. May-Thompson","Derby Trailblazers|22,30,4,6,7",1,3.3,196.0,6,2,3,66.7,1,2,50.0,1,1,100.0,0,0,0,1,0,0,2,0,3,5.2,114.9,39.1,75.8,1.84,3
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, M. Jones, M. Matthews","Newcastle Knights|1,10,11,5,8",2,3.2,190.0,5,1,6,16.7,0,3,0.0,3,4,75.0,0,0,0,1,0,0,2,0,7,9.4,53.4,72.9,-19.6,1.58,-2
Worthing Thunder,"J. Hopkins, E. Maynard, A. Scarborough, B. Adeluola, E. Dadds","Worthing Thunder|15,22,4,5,7",2,3.2,190.0,6,1,5,20.0,1,2,50.0,3,6,50.0,0,0,0,0,0,0,1,0,0,8.3,72.3,0.0,72.3,1.89,6
Derby Trailblazers,"J. Pathmarajah, S. Walker, C. Brown, E. Oliver, R. May-Thompson","Derby Trailblazers|22,3,4,6,7",1,3.2,192.0,11,4,6,66.7,1,1,100.0,2,2,100.0,0,0,0,2,0,0,1,0,4,7.6,145.4,60.6,84.8,3.44,7
Nottingham Hoods,"D. Nixon Ii, L. Maitland, E. Bailey, M. Savery-Richards, T. Williams","Nottingham Hoods|12,55,6,8,9",2,3.2,193.0,2,0,5,0.0,0,0,0,2,2,100.0,0,0,0,2,0,0,1,0,4,6.6,30.3,53.7,-23.4,0.62,-2
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Ainembabazi, A. Roberts","London Cavaliers|10,13,15,3,4",1,3.2,191.0,3,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0,0,0,0,1,0,0,3.3,90.8,0.0,90.8,0.94,3
Hemel Storm,"K. Walker, M. Norman, B. Inger, S. Newman, J. Burnell","Hemel Storm|11,2,3,4,7",1,3.2,193.0,4,1,4,25.0,1,2,50.0,1,2,50.0,0,0,0,2,0,0,4,0,12,8.5,46.9,138.9,-92.0,1.24,-8
Milton Keynes Breakers,"C. Thompson, B. Baker-Mccann, M. New Jr, B. Freckleton, D. Jackson","Milton Keynes Breakers|10,11,15,7,9",1,3.1,187.0,8,2,4,50.0,2,2,100.0,2,2,100.0,0,0,0,2,0,0,1,0,4,5.6,141.7,59.5,82.2,2.57,4
Loughborough Riders,"J. Campbell, M. Joiner, P. Karras, M. Gordon, J. Cook","Loughborough Riders|0,11,15,22,31",1,3.1,187.0,4,1,3,33.3,1,3,33.3,1,6,16.7,0,0,0,1,0,0,1,0,3,6.4,62.8,57.4,5.3,1.28,1
London Cavaliers,"J. Manning, M. Collins, D. Braster, A. Roberts, O. Pond-Mckenzie","London Cavaliers|10,13,23,4,5",1,3.0,180.0,4,2,4,50.0,0,1,0.0,0,0,0,0,0,0,1,0,0,1,0,6,4.8,83.3,128.1,-44.7,1.33,-2
Hemel Storm,"D. Nelson-Henry, K. Walker, T. Johnson, M. Norman, S. Newman","Hemel Storm|10,11,12,2,4",1,3.0,178.0,0,0,4,0.0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,10,3.8,0.0,154.1,-154.1,0.0,-10
Birmingham Rockets,"R. Blain, O. Jackman, L. Okosieme, E. Donaldson, L. Mcgregor","Birmingham Rockets|0,13,21,3,6",1,3.0,177.0,4,2,5,40.0,0,1,0.0,0,2,0.0,0,0,0,1,0,0,1,0,3,6.6,60.6,64.0,-3.5,1.36,1
Yorkshire Dragons,"D. Ulph, L. Rooney, J. Melke, C. Johnson, N. Lewis","Yorkshire Dragons|10,14,5,9,93",1,2.9,171.0,3,1,5,20.0,1,3,33.3,0,3,0.0,0,0,0,1,0,0,1,0,6,7.0,42.7,125.0,-82.3,1.05,-3
Essex Rebels,"K. Martin, M. Brown, A. Idiata-Mendez, T. Child, T. Hudson","Essex Rebels|10,2,20,22,9",2,2.9,174.0,3,1,7,14.3,1,4,25.0,0,0,0,0,0,0,1,0,0,1,0,11,7.7,39.1,145.4,-106.3,1.03,-8
Bristol Flyers II,"R. Eigbe, N. Ladjimi, A. Bhebhe, W. Simba, G. Landolfi","Bristol Flyers II|13,24,4,6,7",1,2.9,173.0,2,1,5,20.0,0,1,0.0,0,0,0,0,0,0,1,0,0,2,0,10,6.7,29.8,148.8,-119.0,0.69,-8
Milton Keynes Breakers,"B. Baker-Mccann, M. New Jr, X. Wilson, B. Freckleton, D. Jackson","Milton Keynes Breakers|11,15,21,7,9",1,2.8,167.0,4,2,3,66.7,0,1,0.0,0,0,0,0,0,0,2,0,0,1,0,4,3.8,104.2,83.3,20.8,1.44,0
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, T. Riley","Newcastle Knights|1,10,11,3,9",1,2.8,169.0,10,4,5,80.0,2,3,66.7,0,0,0,0,0,0,3,0,0,0,0,7,4.8,208.3,86.4,121.9,3.55,3
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, F. Cork, M. Jones","Newcastle Knights|1,10,11,13,5",1,2.7,160.0,6,2,4,50.0,0,0,0,2,2,100.0,0,0,0,1,0,0,1,0,7,5.6,106.3,149.4,-43.1,2.25,-1
Yorkshire Dragons,"D. Ulph, E. Brownell, J. Whelan, C. Johnson, N. Lewis","Yorkshire Dragons|10,2,23,6,93",1,2.6,154.0,0,0,4,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,5,4.8,0.0,77.0,-77.0,0.0,-5
Nottingham Hoods,"D. Nixon Ii, B. Johnson, A. Sandu-Nelson, L. Maitland, M. Savery-Richards","Nottingham Hoods|12,25,5,55,8",1,2.6,156.0,3,1,4,25.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,4,3.8,78.1,83.3,-5.2,1.15,-1
Milton Keynes Breakers,"D. Jackson, M. New Jr., X. Wilson, J. Spencer, C. Thompson","Milton Keynes Breakers|1,15,21,23,8",1,2.6,157.0,5,2,4,50.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,6,3.8,130.2,125.0,5.2,1.91,-1
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, B. Adeluola, E. Dadds","Worthing Thunder|11,15,22,5,7",2,2.6,155.0,12,2,3,66.7,0,0,0,8,12,66.7,0,0,0,0,0,0,1,0,6,8.9,134.7,76.2,58.5,4.65,6
