Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,Offensive Rebounds (Put Backs),#1Dirk Williams,3,6.7%,-,4,1.333,-,-,3,2,1,66.7%,66.7%,0.79,1.33,+0.54,66.7%,3,0.0%,0.0%,0.00,0.0%,66.7%,3,2,1,66.7%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#3Rodney Chatman,2,4.4%,-,4,2.000,-,-,1,1,0,100.0%,100.0%,1.18,2.00,+0.82,86.2%,2,0.0%,50.0%,3.00,50.0%,100.0%,1,1,0,100.0%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#9Jordan Ratinho,2,4.4%,-,2,1.000,-,-,2,1,1,50.0%,50.0%,1.07,1.00,-0.07,50.0%,2,0.0%,0.0%,0.00,0.0%,50.0%,2,1,1,50.0%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#11Rodney Glasgow,2,4.4%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,0.94,0.00,-0.94,0.0%,1,50.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#2Prentiss Nixon,1,2.2%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,0.98,0.00,-0.98,0.0%,1,0.0%,0.0%,0.00,0.0%,0.0%,0,0,0,-,1,0,1,0.0%,1.00
Sheffield Sharks,P&R Roll Man,#4William Lee,17,40.5%,48%,21,1.235,65%,Very Good,16,8,8,50.0%,59.4%,1.21,1.19,-0.02,62.2%,17,0.0%,5.9%,0.13,5.9%,52.9%,9,5,4,55.6%,7,3,4,42.9%,0.44
Sheffield Sharks,P&R Roll Man,#23Jalen Deloach,13,31.0%,35%,21,1.615,87%,Excellent,10,8,2,80.0%,85.0%,1.25,1.70,+0.45,86.1%,12,7.7%,23.1%,0.50,23.1%,76.9%,9,7,2,77.8%,1,1,0,100.0%,0.10
Sheffield Sharks,P&R Roll Man,#15Mike Ochereobia,8,19.0%,-,9,1.125,-,-,6,3,3,50.0%,50.0%,1.26,1.00,-0.26,58.0%,8,0.0%,25.0%,0.67,25.0%,62.5%,6,3,3,50.0%,0,0,0,-,0.00
Sheffield Sharks,P&R Roll Man,#9Jordan Ratinho,3,7.1%,-,0,0.000,-,-,2,0,2,0.0%,0.0%,1.03,0.00,-1.03,0.0%,3,0.0%,33.3%,1.00,33.3%,0.0%,1,0,1,0.0%,1,0,1,0.0%,0.50
Sheffield Sharks,P&R Roll Man,#1Dirk Williams,1,2.4%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,1.14,0.00,-1.14,0.0%,1,0.0%,0.0%,0.00,0.0%,0.0%,0,0,0,-,1,0,1,0.0%,1.00
