Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Södertälje BBK,"Zaccharie Mortant, Jake O´Neil, Mattias Herlitz, Ibrahim Magassa, Nicholas Spires","Södertälje BBK|1,10,12,3,30",1,Zaccharie Mortant,3,Ibrahim Magassa,3,9,3,0,3,1.0,3.0
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Benjamin Middlebrooks, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|0,15,34,88,94",34,Benjamin Middlebrooks,94,Nathan Dawit,3,9,3,0,3,1.0,3.0
BC Luleå,"Robert Carpenter, Caleb McGill, Daniel Hansson, Antonio Daye, Gustav Hansson","BC Luleå|21,24,6,67,7",67,Antonio Daye,7,Gustav Hansson,3,9,3,0,2,1.5,4.5
BC Luleå,"Felix Broström, Robert Carpenter, Caleb McGill, Antonio Daye, Gustav Hansson","BC Luleå|17,21,24,67,7",7,Gustav Hansson,24,Caleb McGill,3,9,3,0,3,1.0,3.0
Uppsala Basket,"Niklas Larsson, Max Andersson, Olle Stümer, Henrik Jädersten, Peter Stümer","Uppsala Basket|13,2,27,3,4",2,Max Andersson,3,Henrik Jädersten,3,9,3,0,3,1.0,3.0
Borås Basket,"KJ Jenkins, Justin Vander Baan, Ludvig Johansson, William Guténius, Andreas Person","Borås Basket|0,18,4,6,9",4,Ludvig Johansson,0,KJ Jenkins,3,9,3,0,3,1.0,3.0
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Samari Curtis, Brayden Parker","Jämtland Basket|0,22,25,41,7",0,Keaston Willis,7,Brayden Parker,3,9,3,0,3,1.0,3.0
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",3,Marreon Jamar Jackson,7,Romeo Myrthil,4,9,1,3,4,1.0,2.25
Köping Stars,"Romello White, Marreon Jamar Jackson, Dragos Andrei Diculescu, Sekou Sylla, Romeo Myrthil","Köping Stars|0,3,31,5,7",0,Romello White,5,Sekou Sylla,4,9,1,3,3,1.33,3.0
Borås Basket,"Ali Sow, Justin Vander Baan, AJ Clayton, John Brändmark, Fredrik Andersson","Borås Basket|1,18,23,66,8",1,Ali Sow,23,AJ Clayton,3,9,3,0,3,1.0,3.0
Borås Basket,"Justin Vander Baan, Oskar Palmquist, Ludvig Johansson, William Guténius, Andreas Person","Borås Basket|18,2,4,6,9",4,Ludvig Johansson,6,William Guténius,3,9,3,0,2,1.5,4.5
Nässjö Basket,"Mirko Djeric, Abdou Medjedoub, Steven Strong Jr, Josef Fahrenholtz, Anton Johansson","Nässjö Basket|1,17,2,24,4",1,Mirko Djeric,24,Josef Fahrenholtz,4,9,1,3,2,2.0,4.5
Jämtland Basket,"André Jonsson Lorentsson, Nils Botold, Michael Christmas, Samari Curtis, Erik Persson","Jämtland Basket|13,23,25,41,9",41,Samari Curtis,25,Michael Christmas,3,9,3,0,3,1.0,3.0
Högsbo Basket,"Charles Barton, Isaiah Hill, Tony Vitali, Jonathan Peleg, Anes Zekovic","Högsbo Basket|0,1,22,26,6",22,Tony Vitali,6,Anes Zekovic,3,8,2,1,3,1.0,2.67
